avg_Number,avg_MendeleevNumber,avg_AtomicWeight,avg_MeltingT,avg_Column,avg_Row,avg_CovalentRadius,avg_Electronegativity,avg_NsValence,avg_NpValence,avg_NdValence,avg_NfValence,avg_NValence,avg_NsUnfilled,avg_NpUnfilled,avg_NdUnfilled,avg_NfUnfilled,avg_NUnfilled,avg_GSvolume_pa,avg_GSbandgap,avg_GSmagmom,avg_SpaceGroupNumber,dev_Number,dev_MendeleevNumber,dev_AtomicWeight,dev_MeltingT,dev_Column,dev_Row,dev_CovalentRadius,dev_Electronegativity,dev_NsValence,dev_NpValence,dev_NdValence,dev_NfValence,dev_NValence,dev_NsUnfilled,dev_NpUnfilled,dev_NdUnfilled,dev_NfUnfilled,dev_NUnfilled,dev_GSvolume_pa,dev_GSbandgap,dev_GSmagmom,dev_SpaceGroupNumber,range_Number,range_MendeleevNumber,range_AtomicWeight,range_MeltingT,range_Column,range_Row,range_CovalentRadius,range_Electronegativity,range_NsValence,range_NpValence,range_NdValence,range_NfValence,range_NValence,range_NsUnfilled,range_NpUnfilled,range_NdUnfilled,range_NfUnfilled,range_NUnfilled,range_GSvolume_pa,range_GSbandgap,range_GSmagmom,range_SpaceGroupNumber,max_Number,max_MendeleevNumber,max_AtomicWeight,max_MeltingT,max_Column,max_Row,max_CovalentRadius,max_Electronegativity,max_NsValence,max_NpValence,max_NdValence,max_NfValence,max_NValence,max_NsUnfilled,max_NpUnfilled,max_NdUnfilled,max_NfUnfilled,max_NUnfilled,max_GSvolume_pa,max_GSbandgap,max_GSmagmom,max_SpaceGroupNumber,min_Number,min_MendeleevNumber,min_AtomicWeight,min_MeltingT,min_Column,min_Row,min_CovalentRadius,min_Electronegativity,min_NsValence,min_NpValence,min_NdValence,min_NfValence,min_NValence,min_NsUnfilled,min_NpUnfilled,min_NdUnfilled,min_NfUnfilled,min_NUnfilled,min_GSvolume_pa,min_GSbandgap,min_GSmagmom,min_SpaceGroupNumber,mode_Number,mode_MendeleevNumber,mode_AtomicWeight,mode_MeltingT,mode_Column,mode_Row,mode_CovalentRadius,mode_Electronegativity,mode_NsValence,mode_NpValence,mode_NdValence,mode_NfValence,mode_NValence,mode_NsUnfilled,mode_NpUnfilled,mode_NdUnfilled,mode_NfUnfilled,mode_NUnfilled,mode_GSvolume_pa,mode_GSbandgap,mode_GSmagmom,mode_SpaceGroupNumber
14.50,77.75,31.88,1525.83,14.00,2.75,98.50,2.11,2.00,2.00,2.50,0.00,6.50,0.00,4.00,0.00,0.00,4.00,14.77,1.17,0.00,125.00,9.50,5.75,21.52,822.18,1.00,0.75,14.50,0.07,0.00,1.00,3.75,0.00,4.25,0.00,1.00,0.00,0.00,1.00,7.60,0.58,0.00,61.50,28.00,12.00,64.11,2030.70,2.00,2.00,35.00,0.15,0.00,2.00,10.00,0.00,12.00,0.00,2.00,0.00,0.00,2.00,15.40,1.63,0.00,164.00,33.00,84.00,74.92,2348.00,15.00,4.00,119.00,2.19,2.00,3.00,10.00,0.00,15.00,0.00,5.00,0.00,0.00,5.00,22.57,1.63,0.00,166.00,5.00,72.00,10.81,317.30,13.00,2.00,84.00,2.04,2.00,1.00,0.00,0.00,3.00,0.00,3.00,0.00,0.00,3.00,7.17,0.00,0.00,2.00,5.00,72.00,10.81,2348.00,13.00,2.00,84.00,2.04,2.00,1.00,0.00,0.00,3.00,0.00,5.00,0.00,0.00,5.00,7.17,1.52,0.00,166.00
10.00,69.80,20.86,290.87,10.80,2.40,95.60,2.84,1.80,3.00,0.00,0.00,4.80,0.20,0.60,0.00,0.00,0.80,16.25,1.18,0.00,93.60,1.20,27.84,2.23,284.85,7.44,0.48,46.32,1.37,0.32,2.40,0.00,0.00,2.64,0.32,0.48,0.00,0.00,0.32,7.85,0.95,0.00,94.32,3.00,91.00,5.31,869.50,16.00,1.00,109.00,3.05,1.00,5.00,0.00,0.00,6.00,1.00,1.00,0.00,0.00,1.00,19.54,1.97,0.00,214.00,12.00,93.00,24.31,923.00,17.00,3.00,166.00,3.98,2.00,5.00,0.00,0.00,7.00,1.00,1.00,0.00,0.00,1.00,29.24,1.97,0.00,229.00,9.00,2.00,19.00,53.50,1.00,2.00,57.00,0.93,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,9.71,0.00,0.00,15.00,9.00,93.00,19.00,53.50,17.00,2.00,57.00,3.98,2.00,5.00,0.00,0.00,7.00,0.00,1.00,0.00,0.00,1.00,9.71,1.97,0.00,15.00
41.00,33.33,96.38,924.80,6.33,4.67,166.67,1.34,2.00,1.00,3.33,4.67,11.00,0.00,1.00,0.00,0.00,1.00,36.16,0.00,0.00,154.00,28.00,35.11,75.07,253.60,5.78,0.89,12.44,0.45,0.00,1.33,4.44,6.22,12.00,0.00,1.33,0.00,0.00,1.33,2.14,0.00,0.00,94.67,63.00,79.00,168.90,570.60,13.00,2.00,28.00,1.02,0.00,3.00,10.00,14.00,27.00,0.00,3.00,0.00,0.00,3.00,4.82,0.00,0.00,213.00,83.00,86.00,208.98,1115.00,15.00,6.00,176.00,2.02,2.00,3.00,10.00,14.00,29.00,0.00,3.00,0.00,0.00,3.00,37.77,0.00,0.00,225.00,20.00,7.00,40.08,544.40,2.00,4.00,148.00,1.00,2.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,32.95,0.00,0.00,12.00,20.00,7.00,40.08,1115.00,2.00,4.00,176.00,1.00,2.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,37.77,0.00,0.00,225.00
32.00,79.00,72.64,1211.40,14.00,4.00,120.00,2.01,2.00,2.00,10.00,0.00,14.00,0.00,4.00,0.00,0.00,4.00,23.01,0.38,0.00,225.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.00,79.00,72.64,1211.40,14.00,4.00,120.00,2.01,2.00,2.00,10.00,0.00,14.00,0.00,4.00,0.00,0.00,4.00,23.01,0.38,0.00,225.00,32.00,79.00,72.64,1211.40,14.00,4.00,120.00,2.01,2.00,2.00,10.00,0.00,14.00,0.00,4.00,0.00,0.00,4.00,23.01,0.38,0.00,225.00,32.00,79.00,72.64,1211.40,14.00,4.00,120.00,2.01,2.00,2.00,10.00,0.00,14.00,0.00,4.00,0.00,0.00,4.00,23.01,0.38,0.00,225.00
48.33,57.00,114.47,1300.32,8.67,5.00,150.00,1.75,1.33,0.33,6.67,4.00,12.33,0.00,1.67,0.00,0.67,2.33,21.28,0.00,0.00,161.00,13.11,14.67,35.19,664.94,3.78,0.67,26.00,0.34,0.89,0.44,4.44,5.33,1.56,0.00,2.22,0.00,0.89,1.78,6.20,0.00,0.00,64.67,37.00,39.00,97.54,1525.14,10.00,2.00,67.00,0.96,2.00,1.00,10.00,12.00,4.00,0.00,5.00,0.00,2.00,5.00,16.18,0.00,0.00,161.00,68.00,74.00,167.26,1828.05,13.00,6.00,189.00,2.20,2.00,1.00,10.00,12.00,14.00,0.00,5.00,0.00,2.00,5.00,30.59,0.00,0.00,225.00,31.00,35.00,69.72,302.91,3.00,4.00,122.00,1.24,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,14.41,0.00,0.00,64.00,31.00,35.00,69.72,302.91,3.00,4.00,122.00,1.24,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,14.41,0.00,0.00,64.00
28.00,63.67,61.96,1660.43,10.00,4.00,129.00,2.08,1.67,1.00,4.00,0.00,6.67,0.33,1.00,2.67,0.00,4.00,16.17,0.54,0.52,141.67,9.33,12.89,22.67,895.42,3.33,0.67,16.67,0.13,0.44,1.33,2.67,0.00,1.56,0.44,1.33,1.78,0.00,1.33,4.27,0.72,0.69,93.11,27.00,33.00,64.99,2578.70,9.00,2.00,47.00,0.31,1.00,3.00,7.00,0.00,4.00,1.00,3.00,5.00,0.00,3.00,12.33,1.63,1.55,227.00,42.00,83.00,95.96,2896.00,15.00,5.00,154.00,2.19,2.00,3.00,7.00,0.00,9.00,1.00,3.00,5.00,0.00,6.00,22.57,1.63,1.55,229.00,15.00,50.00,30.97,317.30,6.00,3.00,107.00,1.88,1.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,3.00,10.25,0.00,0.00,2.00,15.00,50.00,30.97,317.30,6.00,3.00,107.00,1.88,1.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,3.00,10.25,0.00,0.00,2.00
15.67,52.33,32.97,1226.98,9.67,3.33,137.33,1.53,2.00,0.67,0.33,0.00,3.00,0.00,3.33,3.00,0.00,6.33,18.40,0.00,0.00,214.67,3.56,27.56,7.99,391.35,4.44,0.44,21.78,0.11,0.00,0.44,0.44,0.00,0.00,0.00,2.22,4.00,0.00,1.78,2.56,0.00,0.00,13.78,8.00,62.00,17.97,880.53,10.00,1.00,49.00,0.25,0.00,1.00,1.00,0.00,0.00,0.00,5.00,9.00,0.00,4.00,5.76,0.00,0.00,31.00,21.00,73.00,44.96,1814.00,13.00,4.00,170.00,1.61,2.00,1.00,1.00,0.00,3.00,0.00,5.00,9.00,0.00,9.00,22.24,0.00,0.00,225.00,13.00,11.00,26.98,933.47,3.00,3.00,121.00,1.36,2.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,5.00,16.48,0.00,0.00,194.00,13.00,73.00,26.98,933.47,13.00,3.00,121.00,1.61,2.00,1.00,0.00,0.00,3.00,0.00,5.00,0.00,0.00,5.00,16.48,0.00,0.00,225.00
44.00,50.25,106.04,1171.70,8.50,4.50,137.75,1.75,0.75,0.25,7.50,3.50,12.00,0.25,1.25,0.00,0.00,1.50,18.08,0.00,0.00,218.25,20.50,24.63,49.55,656.35,3.75,1.25,4.88,0.45,0.75,0.38,3.75,5.25,7.50,0.38,1.88,0.00,0.00,1.75,4.42,0.00,0.00,12.13,78.00,75.00,197.44,1374.36,12.00,4.00,17.00,1.22,2.00,1.00,10.00,14.00,26.00,1.00,5.00,0.00,0.00,5.00,12.50,0.00,0.00,35.00,81.00,76.00,204.38,1828.05,13.00,6.00,145.00,2.20,2.00,1.00,10.00,14.00,27.00,1.00,5.00,0.00,0.00,5.00,26.91,0.00,0.00,229.00,3.00,1.00,6.94,453.69,1.00,2.00,128.00,0.98,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,14.41,0.00,0.00,194.00,46.00,62.00,106.42,1828.05,10.00,5.00,139.00,2.20,0.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,14.41,0.00,0.00,225.00
28.00,78.50,64.41,246.40,14.00,3.50,106.50,2.41,2.00,2.00,5.00,0.00,9.00,0.00,4.00,0.00,0.00,4.00,19.51,3.22,0.00,166.50,21.00,3.50,50.41,183.35,1.00,1.50,35.50,0.63,0.00,1.00,5.00,0.00,4.00,0.00,1.00,0.00,0.00,1.00,4.75,3.22,0.00,27.50,42.00,7.00,100.81,366.70,2.00,3.00,71.00,1.26,0.00,2.00,10.00,0.00,8.00,0.00,2.00,0.00,0.00,2.00,9.49,6.44,0.00,55.00,49.00,82.00,114.82,429.75,15.00,5.00,142.00,3.04,2.00,3.00,10.00,0.00,13.00,0.00,5.00,0.00,0.00,5.00,24.26,6.44,0.00,194.00,7.00,75.00,14.01,63.05,13.00,2.00,71.00,1.78,2.00,1.00,0.00,0.00,5.00,0.00,3.00,0.00,0.00,3.00,14.77,0.00,0.00,139.00,7.00,75.00,14.01,63.05,13.00,2.00,71.00,1.78,2.00,1.00,0.00,0.00,5.00,0.00,3.00,0.00,0.00,3.00,14.77,0.00,0.00,139.00
44.86,82.43,109.28,713.13,14.57,4.57,132.29,1.95,2.00,2.57,7.14,2.00,13.71,0.00,2.57,0.00,0.00,2.57,28.18,0.27,0.00,174.86,18.20,8.65,47.03,136.80,1.63,0.90,6.53,0.19,0.00,1.63,4.08,3.43,6.12,0.00,1.39,0.00,0.00,1.39,7.53,0.23,0.00,28.65,67.00,19.00,173.61,699.15,4.00,3.00,17.00,0.49,0.00,4.00,10.00,14.00,23.00,0.00,5.00,0.00,0.00,5.00,18.28,0.46,0.00,73.00,80.00,90.00,200.59,933.47,16.00,6.00,138.00,2.10,2.00,4.00,10.00,14.00,26.00,0.00,5.00,0.00,0.00,5.00,34.76,0.46,0.00,225.00,13.00,71.00,26.98,234.32,12.00,3.00,121.00,1.61,2.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,16.48,0.00,0.00,152.00,52.00,90.00,127.60,722.66,16.00,5.00,138.00,2.10,2.00,4.00,10.00,0.00,16.00,0.00,2.00,0.00,0.00,2.00,34.76,0.46,0.00,152.00
32.25,52.50,73.83,1033.74,9.25,4.00,134.50,1.71,1.25,0.50,7.50,0.00,9.25,0.75,1.00,0.00,0.00,1.75,18.07,0.10,0.00,226.00,14.75,25.75,34.04,290.02,4.13,1.00,10.50,0.37,0.38,0.75,3.75,0.00,4.13,0.38,1.50,0.00,0.00,1.13,2.47,0.14,0.00,1.50,44.00,78.00,100.93,781.24,13.00,3.00,25.00,1.03,1.00,2.00,10.00,0.00,13.00,1.00,4.00,0.00,0.00,3.00,6.68,0.38,0.00,4.00,47.00,79.00,107.87,1234.93,14.00,5.00,145.00,2.01,2.00,2.00,10.00,0.00,14.00,1.00,4.00,0.00,0.00,4.00,23.01,0.38,0.00,229.00,3.00,1.00,6.94,453.69,1.00,2.00,120.00,0.98,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,16.33,0.00,0.00,225.00,47.00,65.00,107.87,1234.93,11.00,5.00,145.00,1.93,1.00,0.00,10.00,0.00,11.00,1.00,0.00,0.00,0.00,1.00,16.33,0.00,0.00,225.00
26.75,58.75,59.36,1442.10,8.75,4.00,134.25,1.67,2.00,0.50,6.25,0.00,8.75,0.00,1.00,3.75,0.00,4.75,13.62,0.10,0.00,219.00,2.63,10.13,6.64,115.35,2.63,0.00,7.13,0.17,0.00,0.75,1.88,0.00,2.63,0.00,1.50,1.88,0.00,0.38,4.69,0.14,0.00,3.00,7.00,27.00,17.70,307.60,7.00,0.00,19.00,0.46,0.00,2.00,5.00,0.00,7.00,0.00,4.00,5.00,0.00,1.00,12.52,0.38,0.00,8.00,32.00,79.00,72.64,1519.00,14.00,4.00,139.00,2.01,2.00,2.00,10.00,0.00,14.00,0.00,4.00,5.00,0.00,5.00,23.01,0.38,0.00,225.00,25.00,52.00,54.94,1211.40,7.00,4.00,120.00,1.55,2.00,0.00,5.00,0.00,7.00,0.00,0.00,0.00,0.00,4.00,10.49,0.00,0.00,217.00,25.00,52.00,54.94,1519.00,7.00,4.00,139.00,1.55,2.00,0.00,5.00,0.00,7.00,0.00,0.00,5.00,0.00,5.00,10.49,0.00,0.00,217.00
23.75,48.25,52.17,2090.00,5.75,4.00,147.75,1.68,2.00,0.00,3.75,0.00,5.75,0.00,0.00,6.25,0.00,6.25,12.44,0.00,0.53,229.00,1.13,3.38,1.84,139.50,1.13,0.00,7.88,0.08,0.00,0.00,1.13,0.00,1.13,0.00,0.00,1.13,0.00,1.13,0.86,0.00,0.79,0.00,3.00,9.00,4.90,372.00,3.00,0.00,21.00,0.20,0.00,0.00,3.00,0.00,3.00,0.00,0.00,3.00,0.00,3.00,2.28,0.00,2.11,0.00,26.00,55.00,55.85,2183.00,8.00,4.00,153.00,1.83,2.00,0.00,6.00,0.00,8.00,0.00,0.00,7.00,0.00,7.00,13.01,0.00,2.11,229.00,23.00,46.00,50.94,1811.00,5.00,4.00,132.00,1.63,2.00,0.00,3.00,0.00,5.00,0.00,0.00,4.00,0.00,4.00,10.73,0.00,0.00,229.00,23.00,46.00,50.94,2183.00,5.00,4.00,153.00,1.63,2.00,0.00,3.00,0.00,5.00,0.00,0.00,7.00,0.00,7.00,13.01,0.00,0.00,229.00
72.00,49.00,178.92,910.16,7.50,6.00,164.00,1.60,2.00,0.00,5.50,10.50,18.00,0.00,0.00,4.50,3.50,8.00,28.64,0.00,0.00,180.00,8.00,22.00,21.67,675.84,4.50,0.00,32.00,0.40,0.00,0.00,4.50,3.50,8.00,0.00,0.00,4.50,3.50,8.00,3.41,0.00,0.00,14.00,16.00,44.00,43.34,1351.68,9.00,0.00,64.00,0.80,0.00,0.00,9.00,7.00,16.00,0.00,0.00,9.00,7.00,16.00,6.81,0.00,0.00,28.00,80.00,71.00,200.59,1586.00,12.00,6.00,196.00,2.00,2.00,0.00,10.00,14.00,26.00,0.00,0.00,9.00,7.00,16.00,32.05,0.00,0.00,194.00,64.00,27.00,157.25,234.32,3.00,6.00,132.00,1.20,2.00,0.00,1.00,7.00,10.00,0.00,0.00,0.00,0.00,0.00,25.24,0.00,0.00,166.00,64.00,27.00,157.25,234.32,3.00,6.00,132.00,1.20,2.00,0.00,1.00,7.00,10.00,0.00,0.00,0.00,0.00,0.00,25.24,0.00,0.00,166.00
19.00,62.77,40.63,1270.06,10.69,3.46,129.69,1.65,2.00,0.62,1.92,0.00,4.54,0.00,3.08,1.92,0.00,5.00,15.93,0.00,0.65,223.85,7.39,12.59,16.79,414.26,2.84,0.57,10.70,0.11,0.00,0.47,2.51,0.00,2.13,0.00,2.37,2.37,0.00,0.62,3.20,0.00,0.90,4.59,26.00,61.00,61.92,877.53,10.00,2.00,69.00,0.61,0.00,1.00,6.00,0.00,5.00,0.00,5.00,9.00,0.00,5.00,21.64,0.00,2.11,35.00,39.00,73.00,88.91,1811.00,13.00,5.00,190.00,1.83,2.00,1.00,6.00,0.00,8.00,0.00,5.00,9.00,0.00,9.00,32.37,0.00,2.11,229.00,13.00,12.00,26.98,933.47,3.00,3.00,121.00,1.22,2.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,4.00,10.73,0.00,0.00,194.00,13.00,73.00,26.98,933.47,13.00,3.00,121.00,1.61,2.00,1.00,0.00,0.00,3.00,0.00,5.00,0.00,0.00,5.00,16.48,0.00,0.00,225.00
19.20,76.80,42.92,522.10,13.20,3.00,99.40,2.76,2.00,2.80,2.40,0.00,7.20,0.00,2.00,1.60,0.00,3.60,15.46,0.00,0.00,74.20,13.44,13.52,32.30,567.56,3.68,1.20,40.08,0.81,0.00,1.44,3.04,0.00,2.72,0.00,0.80,2.56,0.00,1.92,7.62,0.00,0.00,74.64,42.00,44.00,102.71,1886.20,12.00,3.00,94.00,1.90,0.00,4.00,10.00,0.00,10.00,0.00,4.00,8.00,0.00,6.00,24.18,0.00,0.00,182.00,50.00,87.00,118.71,1941.00,16.00,5.00,160.00,3.44,2.00,4.00,10.00,0.00,14.00,0.00,4.00,8.00,0.00,8.00,33.29,0.00,0.00,194.00,8.00,43.00,16.00,54.80,4.00,2.00,66.00,1.54,2.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,2.00,9.11,0.00,0.00,12.00,8.00,87.00,16.00,54.80,16.00,2.00,66.00,3.44,2.00,4.00,0.00,0.00,6.00,0.00,2.00,0.00,0.00,2.00,9.11,0.00,0.00,12.00
62.00,60.00,153.50,1705.72,10.20,5.40,143.60,1.98,1.60,0.80,8.00,5.60,16.00,0.40,1.60,2.00,0.00,4.00,21.68,0.15,0.00,225.00,24.00,17.60,64.69,395.46,3.04,1.12,24.96,0.27,0.48,0.96,2.40,6.72,6.40,0.48,1.92,2.40,0.00,1.60,5.33,0.18,0.00,0.00,58.00,63.00,159.40,830.00,11.00,3.00,86.00,0.98,1.00,2.00,8.00,14.00,20.00,1.00,4.00,8.00,0.00,6.00,17.35,0.38,0.00,0.00,90.00,79.00,232.04,2041.40,14.00,7.00,206.00,2.28,2.00,2.00,10.00,14.00,24.00,1.00,4.00,8.00,0.00,8.00,32.37,0.38,0.00,225.00,32.00,16.00,72.64,1211.40,3.00,4.00,120.00,1.30,1.00,0.00,2.00,0.00,4.00,0.00,0.00,0.00,0.00,2.00,15.02,0.00,0.00,225.00,32.00,63.00,72.64,1211.40,10.00,4.00,120.00,2.01,1.00,0.00,9.00,0.00,14.00,0.00,0.00,0.00,0.00,2.00,15.02,0.00,0.00,225.00
27.50,54.00,63.46,794.42,9.00,3.75,137.50,2.12,1.50,1.50,1.00,0.00,4.00,0.50,1.50,1.50,0.00,3.50,40.87,3.22,0.00,211.50,20.50,28.00,49.45,977.79,6.00,1.75,66.50,0.92,0.50,1.50,1.50,0.00,1.50,0.50,1.50,2.25,0.00,1.75,37.45,3.22,0.00,17.50,48.00,77.00,118.90,2686.95,14.00,4.00,173.00,2.25,1.00,3.00,4.00,0.00,4.00,1.00,3.00,6.00,0.00,6.00,101.00,6.44,0.00,35.00,55.00,82.00,132.91,2750.00,15.00,6.00,244.00,3.04,2.00,3.00,4.00,0.00,5.00,1.00,3.00,6.00,0.00,7.00,115.77,6.44,0.00,229.00,7.00,5.00,14.01,63.05,1.00,2.00,71.00,0.79,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,14.77,0.00,0.00,194.00,7.00,82.00,14.01,63.05,15.00,2.00,71.00,3.04,2.00,3.00,0.00,0.00,5.00,0.00,3.00,0.00,0.00,3.00,14.77,6.44,0.00,194.00
70.85,66.40,176.10,1016.75,11.35,5.80,154.35,2.14,1.80,1.30,8.25,9.10,20.45,0.20,2.60,1.75,0.00,4.55,26.53,0.00,0.00,220.35,14.50,18.98,40.43,540.98,3.45,0.32,15.80,0.31,0.32,0.91,2.28,6.37,9.82,0.32,1.82,2.28,0.00,1.34,5.16,0.00,0.00,7.91,37.00,68.00,104.29,1636.39,11.00,1.00,65.00,1.23,1.00,2.00,9.00,14.00,25.00,1.00,4.00,9.00,0.00,6.00,23.26,0.00,0.00,31.00,82.00,81.00,207.20,2237.00,14.00,6.00,207.00,2.33,2.00,2.00,10.00,14.00,28.00,1.00,4.00,9.00,0.00,9.00,36.90,0.00,0.00,225.00,45.00,13.00,102.91,600.61,3.00,5.00,142.00,1.10,1.00,0.00,1.00,0.00,3.00,0.00,0.00,0.00,0.00,3.00,13.64,0.00,0.00,194.00,82.00,81.00,207.20,600.61,14.00,6.00,146.00,2.33,2.00,2.00,10.00,14.00,28.00,0.00,4.00,0.00,0.00,4.00,28.11,0.00,0.00,225.00
16.00,51.00,35.39,822.23,6.00,3.00,129.33,1.49,1.67,1.00,3.33,0.00,6.00,0.33,1.00,0.00,0.00,1.33,20.55,0.00,0.00,196.33,11.33,33.33,26.36,245.69,6.00,0.67,7.78,0.46,0.44,1.33,4.44,0.00,6.00,0.44,1.33,0.00,0.00,1.11,2.64,0.00,0.00,21.78,30.00,83.00,67.98,636.31,14.00,2.00,22.00,1.20,1.00,3.00,10.00,0.00,14.00,1.00,3.00,0.00,0.00,3.00,6.30,0.00,0.00,63.00,33.00,84.00,74.92,1090.00,15.00,4.00,141.00,2.18,2.00,3.00,10.00,0.00,15.00,1.00,3.00,0.00,0.00,3.00,22.89,0.00,0.00,229.00,3.00,1.00,6.94,453.69,1.00,2.00,119.00,0.98,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,16.59,0.00,0.00,166.00,3.00,1.00,6.94,453.69,1.00,2.00,119.00,0.98,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,16.59,0.00,0.00,166.00
38.77,53.46,89.28,912.09,9.69,4.62,153.69,1.61,2.00,1.54,6.15,0.00,9.69,0.00,2.15,0.00,0.00,2.15,32.83,0.00,0.00,184.54,14.44,35.74,37.84,156.08,5.92,0.47,17.16,0.47,0.00,1.35,4.73,0.00,5.92,0.00,1.66,0.00,0.00,1.66,3.80,0.00,0.00,31.12,31.00,78.00,81.68,685.25,13.00,1.00,37.00,1.05,0.00,3.00,10.00,0.00,13.00,0.00,5.00,0.00,0.00,5.00,13.51,0.00,0.00,86.00,51.00,85.00,121.76,1115.00,15.00,5.00,176.00,2.05,2.00,3.00,10.00,0.00,15.00,0.00,5.00,0.00,0.00,5.00,37.77,0.00,0.00,225.00,20.00,7.00,40.08,429.75,2.00,4.00,139.00,1.00,2.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,24.26,0.00,0.00,139.00,51.00,85.00,121.76,903.78,15.00,5.00,139.00,2.05,2.00,3.00,10.00,0.00,15.00,0.00,3.00,0.00,0.00,3.00,31.56,0.00,0.00,166.00
76.00,57.00,189.40,2876.75,8.00,6.00,148.25,2.03,2.00,0.00,6.00,14.00,22.00,0.00,0.00,4.00,0.00,4.00,15.19,0.00,0.00,226.00,1.50,4.50,4.23,206.63,1.50,0.00,10.88,0.26,0.00,0.00,1.50,0.00,1.50,0.00,0.00,1.50,0.00,1.50,1.47,0.00,0.00,1.50,4.00,12.00,11.27,551.00,4.00,0.00,29.00,0.70,0.00,0.00,4.00,0.00,4.00,0.00,0.00,4.00,0.00,4.00,3.91,0.00,0.00,4.00,77.00,60.00,192.22,3290.00,9.00,6.00,170.00,2.20,2.00,0.00,7.00,14.00,23.00,0.00,0.00,7.00,0.00,7.00,18.12,0.00,0.00,229.00,73.00,48.00,180.95,2739.00,5.00,6.00,141.00,1.50,2.00,0.00,3.00,14.00,19.00,0.00,0.00,3.00,0.00,3.00,14.21,0.00,0.00,225.00,77.00,60.00,192.22,2739.00,9.00,6.00,141.00,2.20,2.00,0.00,7.00,14.00,23.00,0.00,0.00,3.00,0.00,3.00,14.21,0.00,0.00,225.00
47.50,64.25,112.99,1119.81,11.50,5.00,152.75,1.84,1.75,2.00,7.75,0.00,11.50,0.25,1.00,2.25,0.00,3.50,29.56,0.23,0.00,180.75,4.50,26.13,14.61,397.15,4.50,0.00,18.63,0.31,0.38,2.00,3.38,0.00,4.50,0.38,1.00,3.38,0.00,2.75,6.61,0.23,0.00,28.75,13.00,78.00,38.69,1076.34,13.00,0.00,52.00,0.88,1.00,4.00,9.00,0.00,13.00,1.00,2.00,9.00,0.00,8.00,18.43,0.46,0.00,73.00,52.00,90.00,127.60,1799.00,16.00,5.00,190.00,2.10,2.00,4.00,10.00,0.00,16.00,1.00,2.00,9.00,0.00,9.00,34.76,0.46,0.00,225.00,39.00,12.00,88.91,722.66,3.00,5.00,138.00,1.22,1.00,0.00,1.00,0.00,3.00,0.00,0.00,0.00,0.00,1.00,16.33,0.00,0.00,152.00,52.00,90.00,127.60,722.66,16.00,5.00,138.00,2.10,2.00,4.00,10.00,0.00,16.00,0.00,2.00,0.00,0.00,2.00,34.76,0.46,0.00,152.00
29.67,72.67,71.41,1195.03,12.33,3.33,97.67,2.66,2.00,2.00,1.67,4.67,10.33,0.00,2.00,1.67,0.00,3.67,14.73,4.29,0.00,194.00,30.22,12.44,76.53,1509.31,3.56,1.78,35.56,0.51,0.00,1.33,2.22,6.22,7.11,0.00,1.33,2.22,0.00,0.89,0.05,2.86,0.00,0.00,68.00,28.00,172.20,3395.95,8.00,4.00,80.00,1.14,0.00,3.00,5.00,14.00,16.00,0.00,3.00,5.00,0.00,2.00,0.11,6.44,0.00,0.00,75.00,82.00,186.21,3459.00,15.00,6.00,151.00,3.04,2.00,3.00,5.00,14.00,21.00,0.00,3.00,5.00,0.00,5.00,14.77,6.44,0.00,194.00,7.00,54.00,14.01,63.05,7.00,2.00,71.00,1.90,2.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,3.00,14.66,0.00,0.00,194.00,7.00,82.00,14.01,63.05,15.00,2.00,71.00,3.04,2.00,3.00,0.00,0.00,5.00,0.00,3.00,0.00,0.00,3.00,14.77,6.44,0.00,194.00
