avg_Number,avg_MendeleevNumber,avg_AtomicWeight,avg_MeltingT,avg_Column,avg_Row,avg_CovalentRadius,avg_Electronegativity,avg_NsValence,avg_NpValence,avg_NdValence,avg_NfValence,avg_NValence,avg_NsUnfilled,avg_NpUnfilled,avg_NdUnfilled,avg_NfUnfilled,avg_NUnfilled,avg_GSvolume_pa,avg_GSbandgap,avg_GSmagmom,avg_SpaceGroupNumber,dev_Number,dev_MendeleevNumber,dev_AtomicWeight,dev_MeltingT,dev_Column,dev_Row,dev_CovalentRadius,dev_Electronegativity,dev_NsValence,dev_NpValence,dev_NdValence,dev_NfValence,dev_NValence,dev_NsUnfilled,dev_NpUnfilled,dev_NdUnfilled,dev_NfUnfilled,dev_NUnfilled,dev_GSvolume_pa,dev_GSbandgap,dev_GSmagmom,dev_SpaceGroupNumber,range_Number,range_MendeleevNumber,range_AtomicWeight,range_MeltingT,range_Column,range_Row,range_CovalentRadius,range_Electronegativity,range_NsValence,range_NpValence,range_NdValence,range_NfValence,range_NValence,range_NsUnfilled,range_NpUnfilled,range_NdUnfilled,range_NfUnfilled,range_NUnfilled,range_GSvolume_pa,range_GSbandgap,range_GSmagmom,range_SpaceGroupNumber,max_Number,max_MendeleevNumber,max_AtomicWeight,max_MeltingT,max_Column,max_Row,max_CovalentRadius,max_Electronegativity,max_NsValence,max_NpValence,max_NdValence,max_NfValence,max_NValence,max_NsUnfilled,max_NpUnfilled,max_NdUnfilled,max_NfUnfilled,max_NUnfilled,max_GSvolume_pa,max_GSbandgap,max_GSmagmom,max_SpaceGroupNumber,min_Number,min_MendeleevNumber,min_AtomicWeight,min_MeltingT,min_Column,min_Row,min_CovalentRadius,min_Electronegativity,min_NsValence,min_NpValence,min_NdValence,min_NfValence,min_NValence,min_NsUnfilled,min_NpUnfilled,min_NdUnfilled,min_NfUnfilled,min_NUnfilled,min_GSvolume_pa,min_GSbandgap,min_GSmagmom,min_SpaceGroupNumber,mode_Number,mode_MendeleevNumber,mode_AtomicWeight,mode_MeltingT,mode_Column,mode_Row,mode_CovalentRadius,mode_Electronegativity,mode_NsValence,mode_NpValence,mode_NdValence,mode_NfValence,mode_NValence,mode_NsUnfilled,mode_NpUnfilled,mode_NdUnfilled,mode_NfUnfilled,mode_NUnfilled,mode_GSvolume_pa,mode_GSbandgap,mode_GSmagmom,mode_SpaceGroupNumber
21.25,51.50,50.36,562.07,9.00,3.00,113.00,2.27,1.75,2.00,0.00,2.50,6.25,0.25,1.00,0.00,1.00,2.25,16.51,0.00,0.00,111.75,22.38,35.50,56.07,561.46,7.00,1.50,47.00,1.17,0.38,2.00,0.00,3.75,2.88,0.38,1.00,0.00,1.50,0.88,7.41,0.00,0.00,99.75,63.00,86.00,155.56,1630.20,15.00,4.00,126.00,2.46,1.00,4.00,0.00,10.00,11.00,1.00,2.00,0.00,4.00,3.00,22.14,0.00,0.00,217.00,66.00,87.00,162.50,1685.00,16.00,6.00,192.00,3.44,2.00,4.00,0.00,10.00,12.00,1.00,2.00,0.00,4.00,4.00,31.24,0.00,0.00,229.00,3.00,1.00,6.94,54.80,1.00,2.00,66.00,0.98,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,9.11,0.00,0.00,12.00,8.00,87.00,16.00,54.80,16.00,2.00,66.00,3.44,2.00,4.00,0.00,0.00,6.00,0.00,2.00,0.00,0.00,2.00,9.11,0.00,0.00,12.00
53.33,58.00,130.40,1346.93,9.00,5.00,148.67,1.80,1.67,0.33,3.33,8.67,14.00,0.33,1.67,0.00,0.67,2.67,21.26,0.00,0.00,214.67,26.89,15.33,68.95,282.04,4.00,1.33,26.89,0.50,0.44,0.44,4.44,5.78,7.33,0.44,2.22,0.00,0.89,1.56,6.22,0.00,0.00,13.78,66.00,38.00,169.99,836.53,10.00,3.00,68.00,1.30,1.00,1.00,10.00,14.00,22.00,1.00,5.00,0.00,2.00,4.00,14.11,0.00,0.00,31.00,79.00,73.00,196.97,1770.00,13.00,6.00,189.00,2.54,2.00,1.00,10.00,14.00,25.00,1.00,5.00,0.00,2.00,5.00,30.59,0.00,0.00,225.00,13.00,35.00,26.98,933.47,3.00,3.00,121.00,1.24,1.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,1.00,16.48,0.00,0.00,194.00,13.00,35.00,26.98,933.47,3.00,3.00,121.00,1.24,1.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,1.00,16.48,0.00,0.00,194.00
16.00,54.33,32.08,1496.33,10.00,3.33,132.67,1.60,2.00,1.33,0.00,0.00,3.33,0.00,2.67,0.00,0.00,2.67,26.22,0.52,0.00,226.33,2.67,31.56,5.33,254.22,5.33,0.44,28.89,0.40,0.00,0.89,0.00,0.00,0.89,0.00,1.78,0.00,0.00,1.78,7.70,0.34,0.00,0.89,6.00,71.00,11.99,572.00,12.00,1.00,65.00,0.90,0.00,2.00,0.00,0.00,2.00,0.00,4.00,0.00,0.00,4.00,17.33,0.77,0.00,2.00,20.00,78.00,40.08,1687.00,14.00,4.00,176.00,1.90,2.00,2.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,4.00,37.77,0.77,0.00,227.00,14.00,7.00,28.09,1115.00,2.00,3.00,111.00,1.00,2.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,20.44,0.00,0.00,225.00,14.00,78.00,28.09,1687.00,14.00,3.00,111.00,1.90,2.00,2.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,4.00,20.44,0.77,0.00,227.00
20.00,73.67,45.01,515.34,13.33,3.00,93.67,3.18,1.67,3.33,1.67,0.00,6.67,0.00,0.67,0.00,0.00,0.67,17.91,1.31,0.00,85.00,14.67,25.78,34.68,615.79,4.89,1.33,48.89,1.07,0.56,2.22,2.78,0.00,1.56,0.00,0.44,0.00,0.00,0.44,12.11,0.88,0.00,93.33,37.00,85.00,87.42,1774.55,15.00,3.00,138.00,3.03,2.00,5.00,10.00,0.00,8.00,0.00,1.00,0.00,0.00,1.00,44.52,1.97,0.00,210.00,46.00,93.00,106.42,1828.05,17.00,5.00,195.00,3.98,2.00,5.00,10.00,0.00,10.00,0.00,1.00,0.00,0.00,1.00,54.23,1.97,0.00,225.00,9.00,8.00,19.00,53.50,2.00,2.00,57.00,0.95,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,9.71,0.00,0.00,15.00,9.00,93.00,19.00,53.50,17.00,2.00,57.00,3.98,2.00,5.00,0.00,0.00,7.00,0.00,1.00,0.00,0.00,1.00,9.71,1.97,0.00,15.00
33.00,61.00,78.74,2076.40,9.00,4.00,135.50,1.99,2.00,1.00,3.50,3.50,10.00,0.00,2.00,4.00,0.00,6.00,16.78,1.12,0.00,201.75,24.50,18.00,64.23,873.30,5.00,1.00,29.75,0.45,0.00,1.00,3.25,5.25,9.00,0.00,2.00,4.00,0.00,2.00,5.66,1.69,0.00,11.63,76.00,38.00,195.19,3222.39,10.00,4.00,84.00,1.01,0.00,2.00,10.00,14.00,24.00,0.00,4.00,8.00,0.00,4.00,22.47,4.50,0.00,31.00,82.00,81.00,207.20,3823.00,14.00,6.00,160.00,2.55,2.00,2.00,10.00,14.00,28.00,0.00,4.00,8.00,0.00,8.00,28.11,4.50,0.00,225.00,6.00,43.00,12.01,600.61,4.00,2.00,76.00,1.54,2.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,4.00,5.64,0.00,0.00,194.00,22.00,43.00,47.87,1941.00,4.00,4.00,160.00,1.54,2.00,0.00,2.00,0.00,4.00,0.00,0.00,8.00,0.00,8.00,16.69,0.00,0.00,194.00
27.27,63.27,64.52,659.33,11.46,3.46,113.91,2.63,2.00,2.55,0.55,1.27,6.36,0.00,1.27,3.09,0.00,4.36,17.50,0.00,0.00,81.36,24.53,30.20,61.75,769.40,5.79,1.85,60.98,1.04,0.00,1.85,0.69,2.31,2.30,0.00,0.93,3.93,0.00,3.01,10.69,0.00,0.00,88.28,65.00,74.00,164.95,3235.20,13.00,4.00,141.00,2.34,0.00,4.00,3.00,14.00,16.00,0.00,2.00,9.00,0.00,7.00,27.79,0.00,0.00,217.00,73.00,87.00,180.95,3290.00,16.00,6.00,207.00,3.44,2.00,4.00,3.00,14.00,19.00,0.00,2.00,9.00,0.00,9.00,36.90,0.00,0.00,229.00,8.00,13.00,16.00,54.80,3.00,2.00,66.00,1.10,2.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,2.00,9.11,0.00,0.00,12.00,8.00,87.00,16.00,54.80,16.00,2.00,66.00,3.44,2.00,4.00,0.00,0.00,6.00,0.00,2.00,0.00,0.00,2.00,9.11,0.00,0.00,12.00
29.44,61.44,68.20,2218.78,10.11,3.78,122.00,2.05,1.56,0.44,3.56,1.00,6.56,0.44,2.22,0.89,0.56,4.11,12.78,0.68,0.00,195.33,21.73,9.38,51.01,131.06,2.57,1.58,33.78,0.20,0.49,0.49,3.95,1.78,3.16,0.49,2.47,0.99,0.99,0.99,4.98,0.75,0.00,26.37,60.00,43.00,148.11,719.00,10.00,4.00,110.00,1.07,1.00,1.00,8.00,9.00,8.00,1.00,5.00,2.00,5.00,2.00,24.56,1.52,0.00,59.00,65.00,72.00,158.93,2348.00,13.00,6.00,194.00,2.28,2.00,1.00,8.00,9.00,11.00,1.00,5.00,2.00,5.00,5.00,31.74,1.52,0.00,225.00,5.00,29.00,10.81,1629.00,3.00,2.00,84.00,1.21,1.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,3.00,7.17,0.00,0.00,166.00,5.00,59.00,10.81,2237.00,9.00,2.00,84.00,2.04,1.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,3.00,7.17,0.00,0.00,166.00
45.75,61.75,110.91,2676.48,9.25,4.50,134.50,1.84,2.00,0.75,4.00,7.00,13.75,0.00,2.25,3.50,0.00,5.75,15.18,1.12,0.00,179.00,27.25,13.75,70.04,1186.78,4.25,1.50,35.50,0.36,0.00,0.75,3.00,7.00,5.25,0.00,2.25,3.50,0.00,1.25,4.77,1.69,0.00,57.50,67.00,29.00,168.94,3520.09,9.00,4.00,94.00,1.05,0.00,2.00,10.00,14.00,15.00,0.00,5.00,7.00,0.00,3.00,13.22,4.50,0.00,165.00,73.00,77.00,180.95,3823.00,14.00,6.00,170.00,2.55,2.00,2.00,10.00,14.00,19.00,0.00,5.00,7.00,0.00,7.00,18.86,4.50,0.00,229.00,6.00,48.00,12.01,302.91,5.00,2.00,76.00,1.50,2.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,4.00,5.64,0.00,0.00,64.00,73.00,48.00,180.95,3290.00,5.00,6.00,170.00,1.50,2.00,0.00,3.00,14.00,19.00,0.00,0.00,7.00,0.00,7.00,18.12,0.00,0.00,229.00
24.40,73.60,56.53,442.86,12.80,3.20,102.40,2.67,2.00,2.60,2.00,2.20,8.80,0.00,2.20,0.00,0.60,2.80,15.38,0.00,0.00,58.80,19.68,16.24,48.64,521.66,3.92,1.44,43.68,0.92,0.00,1.68,3.20,3.52,3.36,0.00,1.12,0.00,0.96,0.96,7.53,0.00,0.00,56.16,59.00,54.00,148.93,1692.20,13.00,4.00,126.00,2.21,0.00,4.00,10.00,11.00,7.00,0.00,5.00,0.00,3.00,3.00,21.63,0.00,0.00,182.00,67.00,87.00,164.93,1747.00,16.00,6.00,192.00,3.44,2.00,4.00,10.00,11.00,13.00,0.00,5.00,0.00,3.00,5.00,30.73,0.00,0.00,194.00,8.00,33.00,16.00,54.80,3.00,2.00,66.00,1.23,2.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,2.00,9.11,0.00,0.00,12.00,8.00,87.00,16.00,54.80,16.00,2.00,66.00,3.44,2.00,4.00,0.00,0.00,6.00,0.00,2.00,0.00,0.00,2.00,9.11,0.00,0.00,12.00
11.14,65.86,23.13,2297.63,12.00,2.71,108.71,1.98,2.00,1.29,0.14,0.00,3.43,0.00,3.86,1.29,0.00,5.14,12.66,1.93,0.00,207.29,4.41,15.67,9.53,1307.46,2.57,0.61,28.04,0.49,0.00,0.61,0.25,0.00,0.49,0.00,1.10,2.20,0.00,1.10,6.01,2.20,0.00,15.18,15.00,66.00,32.95,2889.53,11.00,2.00,94.00,1.19,0.00,2.00,1.00,0.00,1.00,0.00,5.00,9.00,0.00,5.00,16.60,4.50,0.00,31.00,21.00,77.00,44.96,3823.00,14.00,4.00,170.00,2.55,2.00,2.00,1.00,0.00,4.00,0.00,5.00,9.00,0.00,9.00,22.24,4.50,0.00,225.00,6.00,11.00,12.01,933.47,3.00,2.00,76.00,1.36,2.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,4.00,5.64,0.00,0.00,194.00,6.00,73.00,12.01,933.47,13.00,2.00,76.00,1.61,2.00,1.00,0.00,0.00,3.00,0.00,4.00,0.00,0.00,4.00,5.64,0.00,0.00,194.00
